epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6155,0,0,119.21,0,0,0,0,0,0,0,0,0,0,0,60.2812,0,0.00012,0.00012,0.00012
2,18.4522,0,0,118.084,0,0,0,0,0,0,0,0,0,0,0,60.2812,0,0.000257426,0.000257426,0.000257426
3,20.3558,0,0,110.053,0,0,0,0,0,0,0,0,0,0,0,60.3125,0,0.00039208,0.00039208,0.00039208
4,22.1383,0,0,102.998,0,0,0,0,0,0,0,0,0,0,0,61,0,0.000523962,0.000523962,0.000523962
5,23.9965,0,0,95.7294,0,0,0,0,0,0,0,0,0,0,0,60.6562,0,0.000653072,0.000653072,0.000653072
6,25.8415,0,0,88.1667,0,0,0,0,0,0,0,0,0,0,0,60.3125,0,0.00077941,0.00077941,0.00077941
7,27.7708,0,0,81.284,0,0,0,0,0,0,0,0,0,0,0,93.5,0,0.000902976,0.000902976,0.000902976
8,29.5486,0,0,77.6573,0,0,0,0,0,0,0,0,0,0,0,9368,0,0.00102377,0.00102377,0.00102377
9,31.3092,0,0,73.2205,0,0,0,0,0,0,0,0,0,0,0,59.75,0,0.00114179,0.00114179,0.00114179
10,33.0631,0,0,69.8235,0,0,0,0,0,0,0,0,0,0,0,60.2812,0,0.00125704,0.00125704,0.00125704
11,34.8863,0,0,66.1066,0,0,0,0,0,0,0,0,0,0,0,59.1875,0,0.00136952,0.00136952,0.00136952
12,36.6447,0,0,63.0532,0,0,0,0,0,0,0,0,0,0,0,716,0,0.00147923,0.00147923,0.00147923
13,38.3707,0,0,59.6193,0,0,0,0,0,0,0,0,0,0,0,60.3125,0,0.00158616,0.00158616,0.00158616
14,40.1665,0,0,57.0431,0,0,0,0,0,0,0,0,0,0,0,1779,0,0.00169032,0.00169032,0.00169032
