epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5922,1.71956,3.54085,3.77973,1.65862,0.00233,0.7,0.02823,0.01296,0.00233,0.7,0.03602,0.01526,1.40758,3.32018,3.75378,1.6544,0.00012,0.00012,0.00012
2,18.5876,1.10043,2.17948,3.03383,1.20997,0.00333,1,0.89348,0.69928,0.00333,1,0.89348,0.61753,0.86364,2.16523,3.07007,0.99257,0.000257426,0.000257426,0.000257426
3,20.5851,0.86638,1.71322,2.28932,1.02539,0.00333,1,0.905,0.59823,0.00333,1,0.905,0.63085,0.93542,2.27641,3.01698,1.02628,0.00039208,0.00039208,0.00039208
4,22.5183,0.85443,1.60705,1.81655,1.02377,0.00333,1,0.91939,0.70305,0.00333,1,0.91939,0.71353,0.80944,1.62562,2.96486,1.00853,0.000523962,0.000523962,0.000523962
5,24.4984,0.70332,1.25203,1.5327,0.99896,0.00333,1,0.92441,0.67485,0.00333,1,0.92441,0.6842,1.07337,2.44924,3.08673,1.31917,0.000653072,0.000653072,0.000653072
6,26.4496,0.82812,1.23208,1.57293,1.05429,0.00333,1,0.92357,0.64402,0.00333,1,0.92357,0.72195,0.96488,2.10803,2.80607,1.17537,0.00077941,0.00077941,0.00077941
7,28.4134,0.83512,1.48364,1.63202,1.04739,0.46399,1,0.91265,0.65668,0.46399,1,0.91265,0.68856,1.06354,2.31163,2.74481,1.21585,0.000902976,0.000902976,0.000902976
8,30.3437,0.80896,1.36772,1.40436,1.0372,0.92472,0.7,0.84106,0.56893,0.92472,0.7,0.79559,0.43483,1.15151,3.22278,2.94499,1.44644,0.00102377,0.00102377,0.00102377
9,32.2847,0.7599,1.39406,1.45835,1.02415,0.98489,0.9,0.96167,0.66891,0.98489,0.9,0.96167,0.68841,1.0261,2.25425,2.17262,1.08749,0.00114179,0.00114179,0.00114179
10,34.2718,0.8267,1.25447,1.3845,1.11157,1,0.84819,0.98591,0.717,1,0.84819,0.98591,0.62007,1.1366,4.1605,2.43594,1.18919,0.00125704,0.00125704,0.00125704
11,36.2111,0.84376,1.36164,1.36776,1.04448,1,0.85587,0.96167,0.61537,1,0.85587,0.96167,0.58193,1.27872,3.94591,2.45199,1.29271,0.00136952,0.00136952,0.00136952
12,38.1643,0.82867,1.2498,1.26535,1.0172,1,0.47485,0.67363,0.42658,1,0.47485,0.67363,0.4487,1.39365,5.75821,2.86203,1.49916,0.00147923,0.00147923,0.00147923
13,40.0885,0.77122,1.24484,1.23789,1.00195,1,0.61179,0.77859,0.52805,1,0.61179,0.77859,0.54475,1.16401,3.63006,2.48173,1.49025,0.00158616,0.00158616,0.00158616
14,42.0212,0.72255,1.20439,1.15416,0.99003,0.72429,0.9,0.76167,0.47915,0.72429,0.9,0.76167,0.5702,1.28061,2.638,2.20942,1.56082,0.00169032,0.00169032,0.00169032
15,43.9707,0.77489,1.2353,1.12474,0.99151,0.976,0.8,0.81517,0.51598,0.976,0.8,0.87698,0.42559,1.51114,6.80241,2.39623,1.67452,0.0017228,0.0017228,0.0017228
16,45.9229,0.81145,1.19505,1.1638,1.03327,0.96582,0.9,0.89536,0.59911,0.96582,0.9,0.89851,0.61981,1.21675,2.93396,2.16231,1.32108,0.001703,0.001703,0.001703
17,47.9563,0.7819,1.08572,1.12385,1.00737,0.80137,0.9,0.77417,0.50469,0.80137,0.9,0.83477,0.58289,1.23669,3.48425,1.94027,1.4548,0.0016832,0.0016832,0.0016832
18,49.9414,0.72926,1.1209,1.04085,0.98499,1,0.97168,0.995,0.55569,1,0.97168,0.995,0.74637,1.33252,1.91036,2.0642,1.38831,0.0016634,0.0016634,0.0016634
19,51.9429,0.72681,1.04457,0.96825,0.9761,1,0.97947,0.995,0.68511,1,0.97947,0.995,0.74661,1.03898,1.71524,1.59963,1.24218,0.0016436,0.0016436,0.0016436
20,54.0326,0.70183,1.05242,0.98693,0.99878,1,0.9872,0.995,0.74905,1,0.9872,0.995,0.74,0.92508,1.99108,1.34875,1.29479,0.0016238,0.0016238,0.0016238
21,56.097,0.76556,1.11682,0.98797,1.03309,0.83004,0.97825,0.95056,0.65083,0.83004,0.97825,0.95056,0.70657,1.12733,1.93921,1.33223,1.38619,0.001604,0.001604,0.001604
22,58.127,0.76435,1.11571,0.98853,1.03313,0.97873,1,0.995,0.68818,0.97873,1,0.995,0.60215,1.17863,3.11343,1.12733,1.32708,0.0015842,0.0015842,0.0015842
23,60.0813,0.72928,1.07693,0.9479,0.9904,0.99214,1,0.995,0.7253,0.99214,1,0.995,0.77228,0.94047,1.9586,0.91437,1.0648,0.0015644,0.0015644,0.0015644
24,62.0943,0.66976,1.23778,0.87383,0.94403,0.97681,1,0.995,0.75536,0.97681,1,0.995,0.77988,0.83275,2.04702,0.90579,0.97656,0.0015446,0.0015446,0.0015446
25,64.0729,0.67411,1.06864,0.88284,0.97659,0.97961,1,0.995,0.76259,0.97961,1,0.995,0.75673,0.81694,1.91249,0.93559,0.95517,0.0015248,0.0015248,0.0015248
26,66.0478,0.70701,1.20365,0.86698,0.99135,1,0.99005,0.995,0.74764,1,0.99005,0.995,0.79548,0.86072,1.67625,0.91091,1.05204,0.001505,0.001505,0.001505
27,68.0213,0.65678,1.06773,0.8069,0.97899,1,0.87475,0.91826,0.73811,1,0.87475,0.91826,0.71857,0.98425,1.83731,1.36839,1.08365,0.0014852,0.0014852,0.0014852
28,69.9698,0.67626,1.08324,0.81957,0.9947,1,0.89542,0.97833,0.77131,1,0.89542,0.97833,0.80952,0.83688,1.31574,1.0632,1.00253,0.0014654,0.0014654,0.0014654
29,71.9172,0.65251,1.03325,0.80458,0.97117,0.9897,1,0.995,0.77539,0.9897,1,0.995,0.77757,0.80206,1.32651,0.77297,1.09162,0.0014456,0.0014456,0.0014456
30,73.9074,0.67572,1.17068,0.79336,0.98102,0.98354,1,0.995,0.78581,0.98354,1,0.995,0.82657,0.84401,1.36349,0.661,1.03061,0.0014258,0.0014258,0.0014258
31,75.873,0.67318,0.98348,0.81598,0.96844,0.96723,1,0.995,0.7705,0.96723,1,0.995,0.82808,0.91492,1.34611,0.67441,1.19228,0.001406,0.001406,0.001406
